tweet_id,username,retweets,retweet_name
1372901783127740417,rilwan128,1,CStepladderUK
1380012841361567745,rijitK,285,joavanschoren
1383301792138596359,rijitK,2,SIGMOD_2021
1380526967468908545,rijitK,2,logCACM
1386808756789420035,ridgetwhitlow,50,accountabletech
1386447623041675265,ridgetwhitlow,48,jack_turban
1385981257838850048,ridgetwhitlow,20,IntrovertDear
1315894762344308736,rguptaji,648,EricTopol
1315336628265598976,rguptaji,173,SEE_Fluids_UK
1316443890229153794,rguptaji,48,CorsIAQ
1312801841965494273,rguptaji,23,CorsIAQ
1357792402594025474,resetar_jozef,188,karpathy
1373064266148950020,resetar_jozef,117,morgymcg
1373062963343593472,resetar_jozef,68,jon_barron
1378688406667026443,resetar_jozef,31,algoritmic
1378430154658185218,resetar_jozef,18,slashML
1387626109924265987,rendan642,2,leespector
1379833579312721923,realfabs,9953,torben_kassler
1371138732271800320,realfabs,2959,elonmusk
1376043864981696515,realfabs,123,FourTet
1374482309211033607,realfabs,9,daringfireball
1388397263093915650,realfabs,6,dpreview
1252420184331055106,rcccym,7,nekozzang
1252420028625911816,rcccym,7,TheWebConf
1321158781707997184,rcccym,1,WittedNote
1387826976124252160,rbuurma,113,SAAupdates
1387471745553211402,rbuurma,56,MichaelGreyeyes
1388111895962570753,rbuurma,17,dan_sinykin
1388112468434735105,rbuurma,4,LAHeffernan
1387766186272829445,rbuurma,4,upstaterica
1107644122507239424,rashinyoni,300,JimHarris
1107644384634392576,rashinyoni,92,Forbes
1107644988765192192,rashinyoni,3,yaelcamhi
1107643793430507520,rashinyoni,2,dutchmichael
1107646350919897088,rashinyoni,1,VisionEA
1385198538351644674,rain4ai,54,xataka
1384105157378465793,rain4ai,9,Sherpa_AI
1383674769350922241,rain4ai,3,AIMatesanz
1382265016791994368,rain4ai,2,MLHispano
1377546164833243136,raffaele_perego,8,ecir2022
1384776639486349313,raffaele_perego,4,HPCLa
1377546425022742529,raffaele_perego,3,fabreetseo
1377309451103911938,raffaele_perego,3,2021Ecir
1382703773882142730,raffaele_perego,1,frrncl
1388122445018718208,rachellaudan,11,ApplesandPeople
1388226507038994435,rachellaudan,3,CariPert
1388226705899274240,rachellaudan,1,LeahMcGrathRD
1385246935838195713,r_maya,2908,BSYBJP
1388017227845173252,r_maya,217,ranjanigayatri
1385713366711226370,r_maya,17,TheWebConf
1384022938026864644,r_maya,12,ShrikaanthK
1383360876292448262,r_maya,2,garimagaur27
1382208070227415042,r_jesuraj,244,amuellerml
1387519850529001476,r_jesuraj,69,jeffsand
1388240647191072769,r_jesuraj,63,TensorFlow
1381342308935720962,r_jesuraj,15,DeepSchneider
1385948225031442440,r_jesuraj,9,PyTorchLightnin
1388284624380567553,python4living,1357,spencernoon
1388196837962694661,python4living,675,ElProgresistaCo
1388179235626422272,python4living,664,fermatslibrary
1388190020964601860,python4living,3,WWCodePython
1387854510429810698,profe_hanna,10,ReynSchools
1388152529645719555,profe_hanna,3,oonebbuzz
923464835391721473,prknoll,1152,verge
923779860354535424,prknoll,1075,githu
923780079297196033,prknoll,651,nixcraft
924882690737885184,prknoll,169,sniferl4bs
923775888273092608,prknoll,150,asus
1376367274483982336,private_rex,19325,ThomasSowell
1376442210674151428,private_rex,2718,dockaurG
1376370927106146304,private_rex,1789,naomirwolf
1378966558073053184,private_rex,1471,LozzaFox
1374483272533614596,private_rex,245,TheAliceSmith
1387694123419897858,preslav_nakov,10,uclisec
1387324272092266498,preslav_nakov,9,IAugenstein
1387324311841685506,preslav_nakov,7,IAugenstein
1388098978177294336,preslav_nakov,1,arXiv_Daily
1375094841890115591,prathyushspeaks,7,UVA_NSSAC
1388380560268173320,pranav_kundra,215,alajivis
1388405612539695106,pranav_kundra,94,MarcJBrooker
1388380461400039425,pranav_kundra,45,alajivis
1388383437455773697,pranav_kundra,14,matthewstoller
1317061518287081472,poppy_wyatt,941005,RandallTime
1317060990354284544,poppy_wyatt,18224,neonrated
1317059997285613568,poppy_wyatt,7,Living_Security
1317060472382906370,poppy_wyatt,1,OllieCharlton
1317059524088467456,poppy_wyatt,1,WinterBLawrence
1385404300462067717,popaylove,52,melissaterras
1385315292558069767,popaylove,31,enjbach
1387005871272640512,popaylove,19,juliannenyhan
1385404545400967170,popaylove,10,ADHOrg
1388075619758583810,popaylove,5,ieeevis
1388172005791391748,pierre_guillou,77,GuggerSylvain
1387796958002221058,pierre_guillou,76,seb_ruder
1387130874471268362,pierre_guillou,44,StasBekman
1387806555110842375,pierre_guillou,26,AdapterHu
1388172034853773317,pierre_guillou,7,GuggerSylvain
1387330052673650692,phschaer,21,gcabanac
1377596071539527681,phschaer,9,Philipp_Mayr
1379780754931060737,phschaer,8,lj_garcia
1377596567755034624,phschaer,8,ecir2022
1386354993721069569,phoenix24,1123,paulg
1386375200980148224,phoenix24,404,Pentropy
1384842971909025794,phoenix24,234,agder
1384718168308916225,phoenix24,150,paulg
1386355403592667137,phoenix24,95,kavirkaycee
1360334041162121217,phdahmad,152,makkahregion
1360612747323576320,phdahmad,20,hazazioa
1360333638987096066,phdahmad,6,DrAbdulmajeedFR
1386767222929084420,peterpaws,3,PittCyber
1386767752149536769,peterpaws,2,SciPitt
1384907864360292352,peterpaws,2,circls_org
1386767352310738949,peterpaws,1,pittsburghparks
1364367000634548224,pete81505607,593,jeremyphoward
1370508216438771712,pete81505607,148,abhi1thakur
1376693745056366593,pete81505607,136,f_charton
1367603013704159239,pete81505607,102,abhi1thakur
1364370777794093056,pete81505607,99,abhi1thakur
1388105443931742208,pelayoarbues,22,llenten
1388129988273180672,pelayoarbues,14,CityLa
1385334232541798404,pcastells,28,SIGIRConf
1384497825120088070,pcastells,16,iadh
1382454483662299136,pcastells,5,ian_soboroff
1382454477278547969,pcastells,3,SIGIRConf
1384498586235195400,pcastells,1,hugo_zara
